,,,,,
Air Cargo Problem 1 ,,,,,
Algorithm,Expansions,Goal Tests,New Nodes,Plan length,Time elapsed (sec)
 breadth_first_search,43,56,180,6,2.85E-02
 depth_first_graph_search,21,22,84,20,1.27E-02
 uniform_cost_search,55,57,224,6,3.54E-02
 astar_search with h_1,55,57,224,6,3.37E-02
 astar_search with h_ignore_preconditions,41,43,170,6,3.60E-02
 astar_search with h_pg_levelsum,11,13,50,6,5.11E-01
,,,,,
,,,,,
,,,,,
Air Cargo Problem 2 ,,,,,
Algorithm,Expansions,Goal Tests,New Nodes,Plan length,Time elapsed (sec)
 breadth_first_search,3346,4612,30534,9,1.37E+01
 depth_first_graph_search,107,108,959,105,4.33E-01
 uniform_cost_search,4853,4855,44041,9,1.25E+01
 astar_search with h_1,4853,4855,44041,9,1.20E+01
 astar_search with h_ignore_preconditions,1450,1452,13303,9,4.47E+00
 astar_search with h_pg_levelsum,86,88,841,9,5.28E+01
,,,,,
,,,,,
,,,,,
Air Cargo Problem 3 ,,,,,
Algorithm,Expansions,Goal Tests,New Nodes,Plan length,Time elapsed (sec)
 breadth_first_search,14663,18098,129631,12,9.91E+01
 depth_first_graph_search,408,409,3364,392,1.62E+00
 uniform_cost_search,18223,18225,159618,12,4.80E+01
 astar_search with h_1,18223,18225,159618,12,4.80E+01
 astar_search with h_ignore_preconditions,5040,5042,44944,12,1.53E+01
 astar_search with h_pg_levelsum,325,327,3002,12,2.39E+02